movie_id,genre_id
1124566,18
568,18
568,36
399579,28
399579,878
399579,12
137113,28
137113,878
748783,10751
748783,35
748783,12
748783,16
4248,35
166428,16
166428,10751
166428,12
44896,16
44896,35
44896,10751
44896,37
44896,12
13494,12
13494,28
13494,14
13494,18
141,14
141,18
141,9648
384018,28
384018,12
384018,35
1585,18
1585,10751
1585,14
398818,10749
398818,18
255709,18
240832,28
240832,878
400155,16
400155,35
400155,10751
400155,14
107,80
107,35
18239,12
18239,14
18239,18
18239,10749
929590,10752
929590,28
929590,18
588,27
588,9648
10192,35
10192,12
10192,14
10192,16
10192,10751
11216,18
11216,10749
242,80
242,18
242,53
259693,27
1208348,18
1208348,35
460465,28
460465,14
460465,12
35552,14
35552,12
35552,28
35552,9648
550988,35
550988,12
550988,878
8363,35
566525,28
566525,12
566525,14
53064,16
53064,18
53064,27
561,14
561,28
561,27
770,18
770,10752
770,10749
675353,28
675353,12
675353,10751
675353,35
1252428,12
1252428,27
166428,16
166428,10751
166428,12
845781,28
845781,35
845781,14
124905,28
124905,18
124905,878
102899,878
102899,12
102899,28
115,35
115,80
787699,35
787699,10751
787699,14
273481,28
273481,80
273481,53
454626,28
454626,878
454626,35
454626,10751
50014,18
76757,878
76757,14
76757,28
351286,28
351286,12
351286,878
351286,53
246655,878
246655,14
246655,28
796185,12
796185,28
796185,18
796185,36
364,28
364,14
301,37
301,18
746036,28
746036,35
746036,10749
616,18
616,28
616,10752
168259,28
168259,80
168259,53
49444,16
49444,10751
49444,35
44896,16
44896,35
44896,10751
44896,37
44896,12
588,27
588,9648
577922,28
577922,53
577922,878
9659,12
9659,28
9659,53
9659,878
17654,878
270946,10751
270946,16
270946,12
270946,35
1034716,35
1034716,10749
1034716,18
474350,27
474350,53
474350,18
698687,16
698687,878
698687,12
698687,10751
1391,18
1391,10749
101299,12
101299,28
101299,878
4588,28
4588,18
4588,10749
4588,53
11770,28
11770,35
698687,16
698687,878
698687,12
698687,10751
1391,18
1391,10749
101299,12
101299,28
101299,878
4588,28
4588,18
4588,10749
4588,53
11770,28
11770,35
102651,14
102651,12
102651,28
102651,10751
102651,10749
10474,18
10474,80
882569,10752
882569,28
882569,53
135397,28
135397,12
135397,878
135397,53
102899,878
102899,12
102899,28
10830,35
10830,10751
10830,14
605,12
605,28
605,53
605,878
533514,16
533514,18
533514,14
533514,10749
1232546,27
1232546,9648
377,27
629,18
629,80
629,53
9802,28
9802,12
9802,53
12429,16
12429,14
12429,10751
46195,16
46195,12
46195,35
46195,10751
1151031,27
466420,80
466420,36
466420,18
93456,16
93456,35
93456,10751
639720,35
639720,14
639720,10751
115,35
115,80
268,14
268,28
268,80
245891,28
245891,53
22803,18
22803,80
22803,53
36647,27
36647,28
615173,28
615173,9648
615173,53
615173,878
500,80
500,53
838209,9648
838209,27
838209,53
393,28
393,80
393,53
22832,28
22832,12
22832,53
1813,27
1813,18
1813,9648
62835,28
62835,53
62835,80
62835,18
402900,80
402900,35
402900,28
530915,10752
530915,36
530915,18
257211,35
312221,18
700391,28
700391,12
700391,878
245891,28
245891,53
4233,27
4233,9648
512200,12
512200,35
512200,14
466420,80
466420,36
466420,18
61979,10749
61979,18
1033148,18
87,12
87,28
639720,35
639720,14
639720,10751
804370,16
804370,12
804370,14
804370,10751
804370,878
11653,28
11653,12
11653,35
11653,18
11653,14
246655,878
246655,14
246655,28
359364,99
124905,28
124905,18
124905,878
115,35
115,80
268,14
268,28
268,80
698508,10749
698508,18
698508,37
37799,18
293167,28
293167,12
293167,14
500,80
500,53
37135,16
37135,10751
37135,12
15512,16
15512,10751
15512,12
15512,878
393,28
393,80
393,53
1813,27
1813,18
1813,9648
42337,18
42337,10749
49018,27
49018,53
819,80
819,18
819,53
26389,28
26389,80
26389,53
567,53
567,9648
1402,18
109418,35
1250,53
1250,28
1250,14
438148,10751
438148,35
438148,12
438148,16
438148,878
438148,14
438148,28
